cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,695,1259,4,0.548942,0.381515
201,689,1440,1,0.523042,0.360376
301,651,1408,4,0.539239,0.351045
401,687,1425,4,0.545183,0.374541
501,687,1444,2,0.56324,0.386946
601,675,1455,4,0.549093,0.370638
701,654,1451,6,0.593193,0.387948
801,696,1482,4,0.572244,0.398282
901,654,1383,6,0.575045,0.376079
1001,653,1390,4,0.551347,0.360029
1101,699,1444,6,0.571864,0.399733
1201,657,1461,8,0.538943,0.354086
1301,641,1418,6,0.543422,0.348333
1401,682,1511,9,0.546192,0.372503
1501,670,1520,10,0.559251,0.374698
1601,646,1568,13,0.541757,0.349975
1701,660,1450,4,0.553167,0.36509
1801,651,1450,5,0.541192,0.352316
1901,650,1473,10,0.587155,0.381651
2001,654,1437,8,0.550692,0.360153
2101,671,1507,6,0.546444,0.366664
2201,630,1463,7,0.554261,0.349185
2301,675,1510,4,0.549912,0.371191
2401,665,1466,7,0.541732,0.360252
2501,640,1425,4,0.558237,0.357271
2601,649,1483,9,0.525964,0.341351
2701,668,1530,6,0.525364,0.350943
2801,633,1450,6,0.5614,0.355366
2901,644,1452,5,0.560125,0.360721
3001,641,1489,7,0.546064,0.350027
3101,644,1521,5,0.567751,0.365631
3201,686,1471,8,0.544092,0.373247
3301,654,1482,5,0.558078,0.364983
3401,648,1453,10,0.556124,0.360368
3501,646,1469,6,0.559052,0.361148
3601,646,1510,9,0.565693,0.365437
3701,666,1525,8,0.549691,0.366094
3801,654,1548,8,0.546895,0.357669
3901,633,1514,7,0.569195,0.360301
4001,626,1502,10,0.562766,0.352291
4101,637,1493,7,0.544682,0.346963
4201,632,1514,7,0.555963,0.351369
4301,652,1551,8,0.568267,0.37051
4401,698,1500,8,0.553871,0.386602
4501,664,1547,7,0.56777,0.376999
4601,644,1502,7,0.568336,0.366009
4701,660,1477,8,0.568043,0.374909
4801,658,1466,9,0.5623,0.369993
4901,680,1504,7,0.548016,0.372651
5001,650,1474,10,0.540996,0.351647
5101,683,1503,7,0.563641,0.384966
5201,668,1537,7,0.57213,0.382183
5301,637,1544,9,0.58527,0.372817
5401,666,1518,8,0.589635,0.392697
5501,668,1495,8,0.566383,0.378344
5601,620,1464,10,0.547218,0.339275
5701,686,1441,10,0.547501,0.375585
5801,703,1528,10,0.541949,0.38099
5901,676,1482,14,0.565799,0.38248
6001,676,1519,9,0.546807,0.369642
6101,655,1558,8,0.571393,0.374263
6201,681,1518,11,0.541071,0.36847
6301,640,1463,15,0.540319,0.345804
6401,629,1509,10,0.536967,0.337752
6501,629,1468,12,0.543488,0.341854
6601,605,1494,11,0.544029,0.329137
6701,666,1571,10,0.575693,0.383411
6801,649,1490,11,0.570737,0.370408
6901,663,1522,12,0.564701,0.374397
7001,644,1477,13,0.551511,0.355173
7101,635,1526,8,0.545175,0.346186
7201,633,1493,12,0.542164,0.34319
7301,650,1477,11,0.54516,0.354354
7401,631,1481,11,0.576733,0.363918
7501,683,1507,13,0.575991,0.393402
7601,654,1518,10,0.549723,0.359519
7701,638,1502,8,0.570858,0.364207
7801,646,1491,12,0.531624,0.343429
7901,681,1586,9,0.546843,0.3724
8001,671,1536,8,0.561951,0.377069
8101,618,1478,10,0.555306,0.343179
8201,681,1440,12,0.541768,0.368944
8301,657,1470,13,0.557491,0.366271
8401,617,1559,7,0.580499,0.358168
8501,654,1551,10,0.557407,0.364544
8601,680,1518,10,0.543857,0.369823
8701,646,1496,7,0.520806,0.336441
8801,641,1516,9,0.548763,0.351757
8901,660,1479,7,0.583908,0.38538
9001,686,1482,7,0.572832,0.392963
9101,647,1496,7,0.550974,0.35648
9201,620,1527,10,0.535603,0.332074
9301,645,1527,9,0.589508,0.380233
9401,680,1514,8,0.561674,0.381938
9501,641,1530,11,0.544469,0.349005
9601,622,1532,9,0.557036,0.346476
9701,673,1557,12,0.567834,0.382152
9801,612,1512,11,0.557966,0.341475
9901,635,1556,11,0.570541,0.362293
10001,655,1539,12,0.557593,0.365223
10101,621,1537,12,0.532159,0.330471
10201,655,1585,15,0.538945,0.353009
10301,668,1551,11,0.535402,0.357648
10401,696,1595,10,0.542407,0.377516
10501,620,1590,9,0.567648,0.351942
10601,636,1554,12,0.529908,0.337021
10701,624,1545,13,0.562441,0.350963
10801,677,1532,12,0.56919,0.385341
10901,633,1535,12,0.530509,0.335812
11001,638,1571,14,0.574333,0.366425
11101,640,1547,13,0.551252,0.352801
11201,624,1523,12,0.56208,0.350738
11301,617,1573,12,0.566738,0.349678
11401,636,1527,13,0.563522,0.3584
11501,605,1514,15,0.562579,0.340361
11601,635,1529,9,0.55718,0.35381
11701,651,1554,13,0.54765,0.35652
11801,625,1461,13,0.545113,0.340696
11901,636,1553,16,0.524062,0.333303
12001,663,1575,15,0.543237,0.360166
12101,673,1545,13,0.548402,0.369075
12201,657,1513,13,0.553036,0.363345
12301,633,1407,12,0.550434,0.348425
12401,660,1545,14,0.52629,0.347351
12501,621,1504,18,0.537393,0.333721
12601,629,1487,14,0.554068,0.348509
12701,635,1490,14,0.557874,0.35425
12801,640,1479,13,0.545516,0.34913
12901,678,1611,14,0.543708,0.368634
13001,661,1547,16,0.552374,0.365119
13101,676,1587,17,0.57751,0.390397
13201,624,1518,14,0.581479,0.362843
13301,648,1526,16,0.547554,0.354815
13401,632,1506,13,0.542458,0.342833
13501,688,1613,14,0.551559,0.379472
13601,664,1529,16,0.585483,0.388761
13701,659,1487,14,0.560023,0.369055
13801,699,1531,13,0.571828,0.399707
13901,650,1493,14,0.53957,0.35072
14001,680,1516,13,0.553604,0.376451
14101,666,1598,11,0.532083,0.354368
14201,661,1508,13,0.586924,0.387957
14301,661,1573,13,0.557819,0.368718
14401,689,1574,14,0.554139,0.381802
14501,652,1491,15,0.52781,0.344132
14601,658,1514,19,0.575432,0.378634
