cycle,Population_size,Deleterious_muts,Beneficial_muts,Mean_fitness,Intrinsic_fitness
1,1000,0,0,1.0,1.0
101,711,1362,3,0.565921,0.40237
201,669,1377,4,0.537885,0.359845
301,701,1370,4,0.5452,0.382185
401,686,1440,3,0.544633,0.373618
501,668,1445,4,0.585428,0.391066
601,712,1443,2,0.552832,0.393616
701,665,1462,4,0.5443,0.36196
801,659,1376,4,0.536453,0.353523
901,678,1383,2,0.551007,0.373583
1001,697,1445,3,0.573547,0.399762
1101,698,1477,3,0.527947,0.368507
1201,686,1475,4,0.544828,0.373752
1301,673,1395,9,0.543763,0.365952
1401,670,1513,7,0.556309,0.372727
1501,670,1530,7,0.550843,0.369065
1601,659,1524,4,0.542484,0.357497
1701,639,1462,5,0.595517,0.380535
1801,633,1488,4,0.544713,0.344804
1901,675,1522,4,0.546596,0.368952
2001,671,1436,3,0.570715,0.38295
2101,677,1521,2,0.570297,0.386091
2201,648,1450,5,0.53975,0.349758
2301,661,1502,3,0.54902,0.362902
2401,684,1521,6,0.540351,0.3696
2501,668,1497,5,0.545583,0.364449
2601,631,1460,7,0.561773,0.354479
2701,743,1500,8,0.554506,0.411998
2801,673,1491,8,0.582118,0.391766
2901,641,1432,2,0.572992,0.367288
3001,688,1444,6,0.563914,0.387973
3101,682,1496,3,0.527975,0.360079
3201,650,1457,3,0.550509,0.357831
3301,664,1454,5,0.551305,0.366066
3401,659,1430,5,0.573027,0.377625
3501,682,1447,6,0.597614,0.407573
3601,675,1436,8,0.606303,0.409254
3701,671,1451,8,0.545506,0.366034
3801,639,1531,6,0.5415,0.346018
3901,660,1475,10,0.544757,0.35954
4001,686,1505,8,0.561853,0.385431
4101,638,1388,6,0.551473,0.35184
4201,653,1454,2,0.549797,0.359017
4301,652,1431,6,0.573862,0.374158
4401,666,1489,4,0.583847,0.388842
4501,665,1457,3,0.553393,0.368007
4601,658,1569,4,0.558883,0.367745
4701,689,1528,7,0.558522,0.384821
4801,623,1455,3,0.569667,0.354902
4901,702,1489,4,0.562879,0.395141
5001,664,1415,5,0.593321,0.393965
5101,637,1479,5,0.585207,0.372777
5201,685,1526,6,0.562028,0.384989
5301,669,1502,7,0.548492,0.366941
5401,665,1539,7,0.57067,0.379495
5501,655,1519,8,0.574798,0.376493
5601,661,1517,5,0.566712,0.374597
5701,627,1472,4,0.534371,0.335051
5801,657,1534,4,0.541276,0.355618
5901,671,1556,7,0.537169,0.36044
6001,661,1512,11,0.552011,0.364879
6101,668,1517,9,0.563995,0.376748
6201,675,1516,7,0.559708,0.377803
6301,677,1498,11,0.5504,0.372621
6401,677,1592,9,0.532935,0.360797
6501,666,1521,12,0.570044,0.379649
6601,647,1478,17,0.536886,0.347365
6701,664,1561,15,0.539474,0.358211
6801,639,1503,11,0.525497,0.335792
6901,652,1441,8,0.566047,0.369063
7001,677,1551,10,0.570964,0.386543
7101,641,1502,10,0.560189,0.359081
7201,674,1496,9,0.54888,0.369945
7301,635,1414,12,0.53806,0.341668
7401,651,1467,11,0.539133,0.350976
7501,644,1563,10,0.531268,0.342136
7601,658,1515,12,0.548483,0.360902
7701,687,1528,10,0.552612,0.379645
7801,678,1528,11,0.558726,0.378816
7901,654,1485,8,0.544862,0.35634
8001,659,1573,10,0.550017,0.362461
8101,678,1507,12,0.567415,0.384707
8201,652,1498,11,0.554648,0.36163
8301,661,1487,6,0.573321,0.378965
8401,634,1540,8,0.559367,0.354639
8501,681,1531,10,0.564623,0.384508
8601,637,1508,10,0.544775,0.347022
8701,674,1511,11,0.586253,0.395135
8801,638,1457,7,0.551419,0.351805
8901,642,1404,7,0.547046,0.351203
9001,602,1450,7,0.540927,0.325638
9101,626,1462,6,0.530296,0.331965
9201,663,1537,7,0.523082,0.346803
9301,661,1518,8,0.557769,0.368685
9401,699,1482,8,0.551605,0.385572
9501,665,1584,6,0.582456,0.387333
9601,673,1509,5,0.561848,0.378124
9701,638,1505,5,0.546825,0.348875
9801,656,1541,7,0.589284,0.38657
9901,621,1529,8,0.571029,0.354609
10001,666,1478,7,0.564412,0.375899
10101,651,1493,10,0.549363,0.357635
10201,680,1531,7,0.55598,0.378067
10301,636,1495,8,0.542624,0.345109
10401,630,1563,9,0.55671,0.350728
10501,673,1579,11,0.552664,0.371943
10601,661,1492,6,0.54341,0.359194
10701,645,1512,10,0.521171,0.336155
10801,650,1542,9,0.585355,0.380481
10901,629,1571,9,0.544054,0.34221
11001,638,1475,7,0.554316,0.353654
11101,654,1518,9,0.550945,0.360318
11201,639,1545,9,0.550862,0.352001
11301,649,1533,8,0.556274,0.361022
11401,661,1554,12,0.54869,0.362684
11501,681,1569,10,0.551384,0.375493
11601,614,1548,8,0.57849,0.355193
11701,629,1537,10,0.576549,0.362649
11801,627,1554,9,0.542925,0.340414
11901,680,1564,8,0.558308,0.379649
12001,656,1604,11,0.569258,0.373433
12101,638,1549,8,0.533635,0.340459
12201,611,1470,7,0.5697,0.348086
12301,662,1474,9,0.583071,0.385993
12401,636,1538,8,0.558298,0.355077
12501,622,1563,9,0.541519,0.336825
12601,637,1508,10,0.529796,0.33748
12701,607,1492,10,0.566479,0.343853
12801,601,1477,10,0.565843,0.340072
12901,641,1454,9,0.535639,0.343345
13001,668,1553,7,0.55043,0.367687
13101,647,1507,11,0.571677,0.369875
13201,662,1566,8,0.565779,0.374546
13301,631,1499,10,0.544971,0.343877
13401,630,1556,10,0.547354,0.344833
13501,655,1629,7,0.561342,0.367679
13601,647,1599,10,0.536695,0.347241
13701,642,1485,8,0.591647,0.379837
13801,667,1536,8,0.588187,0.392321
13901,642,1419,8,0.579748,0.372198
14001,656,1582,9,0.530868,0.348249
14101,630,1569,7,0.552912,0.348335
14201,644,1465,10,0.582545,0.375159
14301,630,1510,11,0.528102,0.332704
14401,647,1541,11,0.557851,0.36093
14501,650,1533,9,0.559006,0.363354
14601,646,1509,10,0.562612,0.363448
14701,656,1575,9,0.563836,0.369877
14801,677,1557,8,0.558577,0.378157
14901,655,1490,11,0.539018,0.353057
15001,645,1541,8,0.555416,0.358243
15101,624,1512,9,0.567958,0.354406
15201,635,1508,9,0.561999,0.35687
15301,615,1566,7,0.571936,0.35174
15401,663,1572,11,0.597784,0.396331
15501,656,1503,8,0.539625,0.353994
15601,656,1477,11,0.548685,0.359937
